,u,g,r,i,z,redshift,class
17384,0.43021488022121473,0.3319615580713456,0.87338397015867,0.34097850404429486,0.7136981702920789,0.0014306334068629886,1
29945,0.5676543114670721,0.5972098233324046,0.5862437018317662,0.47326225840498815,0.49494489694132543,0.09848026321849773,0
37536,0.5015698760073372,0.6250580457580635,0.5558899613616144,0.4485061398711435,0.47124198090707453,0.08945497429341391,0
30261,0.468098926057922,0.39403592866579096,0.3946796396316113,0.33412189814669624,0.3555739356334125,0.020986104684483836,0
27821,0.6079376970378,0.5834901753408352,0.6123153714545825,0.5239001344723988,0.6069050624469973,0.10710654716597243,0
37049,0.3138117874736747,0.2758495529765864,0.2914015794598322,0.25293739069734356,0.2673702989372481,0.00656569163893766,0
23583,0.5633270538293039,0.5714394021239536,0.547398731834617,0.4498699626717466,0.48896504937660734,0.07586801093486481,0
4533,0.4815218249487266,0.39671124580885936,0.39462444917135825,0.33507992632357536,0.3612386816982726,0.0013927637839072807,1
19491,0.576756379113121,0.48537294281095,0.46737762781275133,0.39493595656621355,0.42548853503445666,0.05172656477523922,0
12942,0.4214460669556706,0.41077300839081043,0.45484432999034424,0.40510331729606514,0.45340157126905545,0.0013340848998592656,1
30067,0.7091602724056192,0.48540753334432657,0.46051173202347967,0.3869060749087172,0.41490405816844506,0.05446090607887319,0
23914,0.6528893981040303,0.5126421291847437,0.5194414725422396,0.4330727117362467,0.4766705272922661,0.08304850536647104,0
20976,0.4639832803614937,0.38083561251779285,0.37799389259328825,0.3207849285406695,0.34069234425248535,0.025145512596885737,0
23424,0.5448217961217635,0.5896482379677067,0.621811168625084,0.5305137046768758,0.5957864809520133,0.12169944743558894,0
9748,0.3951286104853028,0.3889051574959108,0.4299529260817456,0.3822451707903561,0.4276512541570764,0.0013995145521855969,1
27967,0.5648799457979652,0.5219261335744246,0.4936670212695932,0.40953133058689767,0.4392017725395062,0.06811291515338663,0
8469,0.3934907983232622,0.38277363007272547,0.4261351639688321,0.38193553184921003,0.42972293271793965,0.0014052493995268128,1
17809,0.3682493036544142,0.357599303261366,0.39556724400613885,0.3526433351519108,0.39436328431254286,0.001340951930055562,1
21810,0.5941852159910691,0.46326248433949135,0.4459049944328521,0.3778665585841508,0.4071332404416136,0.042514826656442024,0
30237,0.3915234040052953,0.3653513734810966,0.3897474352891854,0.33849477629843594,0.3622451856865826,0.016680169439951202,0
2379,0.5345166158981618,0.48063024899497914,0.4894335585340401,0.42389998891563174,0.4657148072466467,0.0013993189165485297,1
17545,0.5521497202682926,0.45041660269787215,0.4733027541052334,0.4187111107053165,0.4678851130827462,0.00142838336915595,1
111,0.5483512629698382,0.4975919302654848,0.49391411250448736,0.41036982578222325,0.44069635509501176,0.0014024288195960356,1
36017,0.6284369726915019,0.5347033079922138,0.5026321798864697,0.4233204083334867,0.4676079451502871,0.04456088259338181,0
14008,0.39751739257366026,0.3413171127423944,0.35122449403259465,0.3036206981193668,0.3277969544605501,0.0014357325537483737,1
24726,0.5867030584122402,0.49083824708444457,0.4679877608825208,0.39381340513428126,0.4225469133279185,0.05572044579669796,0
23708,0.3645353075212667,0.306184503061973,0.31623222322870265,0.27190564286976726,0.2880592665964542,0.012253155447760155,0
52349,0.49220708041620986,0.5187239031010177,0.5821049236472894,0.5080520900915231,0.5874512117422903,0.2264249871246691,2
9388,0.512287263439883,0.4832250128411433,0.5099952961525159,0.44548296992439923,0.4986588460800995,0.0013823289385080217,1
